"latitude","longitude","year","month","frp","daynight"
-21.1659,129.9316,"2017","05",580.1,"D"
-21.1683,129.9093,"2017","05",612.5,"D"
-21.1573,129.8853,"2017","05",1318.8,"D"
-21.1707,129.8869,"2017","05",1007,"D"
-21.1721,129.9996,"2017","05",1155.3,"D"
-21.168,130.004,"2017","05",1207.3,"D"
-21.1697,130.0216,"2017","05",1070.7,"D"
-20.6009,128.8458,"2017","05",551,"D"
-21.0367,129.6984,"2017","05",585.6,"D"
-21.0443,129.6893,"2017","05",600.9,"D"
-21.0227,129.6299,"2017","05",659.6,"D"
-21.0175,129.5218,"2017","05",4264.4,"D"
-21.0246,129.5567,"2017","05",3104.4,"D"
-21.0386,129.6262,"2017","05",643.4,"D"
-21.0456,129.6606,"2017","05",656.3,"D"
-21.0154,129.5515,"2017","05",718.9,"D"
-21.0299,129.6209,"2017","05",672.7,"D"
-21.0313,129.5478,"2017","05",3690.3,"D"
-21.024,129.5129,"2017","05",1923.2,"D"
-21.0617,129.6135,"2017","05",1181.2,"D"
-21.0688,129.6479,"2017","05",1329.3,"D"
-21.0775,129.6097,"2017","05",806.1,"D"
-21.0693,129.6058,"2017","05",999.4,"D"
-21.0766,129.6402,"2017","05",1032.3,"D"
-21.0371,129.6552,"2017","05",833,"D"
-21.0015,129.5255,"2017","05",573.5,"D"
-21.008,129.5166,"2017","05",1820.8,"D"
-21.0435,129.7321,"2017","05",1320.8,"D"
-21.0503,129.7657,"2017","05",1614.6,"D"
-21.0513,129.723,"2017","05",1494.6,"D"
-21.0583,129.7565,"2017","05",1193.4,"D"
-21.0759,129.6821,"2017","05",707.9,"D"
-21.0828,129.7158,"2017","05",849.6,"D"
-21.0898,129.7493,"2017","05",748,"D"
-21.0917,129.6785,"2017","05",829.3,"D"
-21.0986,129.7122,"2017","05",870,"D"
-21.1055,129.7457,"2017","05",620.2,"D"
-21.1212,129.7421,"2017","05",613.8,"D"
-21.0839,129.6744,"2017","05",914.8,"D"
-21.0911,129.7081,"2017","05",1228.8,"D"
-21.0982,129.7416,"2017","05",850,"D"
-21.1297,129.7345,"2017","05",530.5,"D"
-21.1367,129.7678,"2017","05",580.8,"D"
-21.7145,125.3866,"2017","05",676.6,"D"
-21.7092,125.3524,"2017","05",1783.4,"D"
-21.7112,125.3453,"2017","05",1521.4,"D"
-34.3151,116.8833,"2017","05",621.9,"D"
-18.8672,128.4924,"2017","05",770.7,"D"
-18.884,128.4492,"2017","05",556.8,"D"
-20.9772,129.5892,"2017","05",562.8,"D"
-35.3465,146.6742,"2017","05",514.4,"D"
-21.0319,129.4301,"2017","05",718.6,"D"
-21.0294,129.4224,"2017","05",911.1,"D"
-21.213,129.6225,"2017","05",559.9,"D"
-21.2095,129.6149,"2017","05",611.6,"D"
-19.9951,135.5503,"2017","05",1076.3,"D"
-19.9967,135.5362,"2017","05",518.6,"D"
-19.9786,135.5713,"2017","05",546.9,"D"
-37.4238,140.5404,"2017","05",1289.2,"D"
-21.4216,129.9747,"2017","05",607.7,"D"
-21.3452,130.0153,"2017","05",1758.8,"D"
-21.3436,130.0051,"2017","05",562.8,"D"
